ID;Name;Geschlecht;Entdecken;Anlass;Jahreszeit;Dufttyp;Beschreibung;Link
108;108 Emerald Meadow;Mann;Topliste, Trends;Freizeit, Arbeit;Frühling, Sommer, Herbst;Grün, Holzig, Würzig, Frisch, Aquatisch;Ein Grüner, strahlender Duft, der die Frische der irischen Landschaft mit der Eleganz eines englischen Gentlemans vereint.;https://www.chogangroupspa.com/product_referral/8892/ROD2B753D
113;113 Your Journey;Mann;-;Freizeit, Arbeit;Frühling, Sommer, Herbst;Grün, Zitrus, Würzig, Ledrig, Frisch;Ein Frischer, spritziger Duft mit Zitrusfrüchten, Pfeffer und Kräutern, abgerundet durch warme, Holzige Noten.;https://www.chogangroupspa.com/product_referral/9111/ROD2B753D
136;136 Modern Man;Mann;Topliste, Trends;Date, Ausgehen;Herbst, Winter;Blumig, Holzig, Pudrig, Süß;Ein raffinierter Duft mit Iris, Lavendel, Birne, Ambrette, Zeder und Vetiver.;https://www.chogangroupspa.com/product_referral/8900/ROD2B753D
140;140 Cupid;Mann;Topliste, Trends;Freizeit, Ausgehen, Date;Frühling, Sommer, Herbst, Winter;Zitrus, Süß, Fruchtig, Frisch;Ein Frischer, aromatischer Duft, der Kraft und Leidenschaft ausstrahlt.;https://www.chogangroupspa.com/product_referral/8771/ROD2B753D
147;147 Dark Nectar;Mann;Topliste;Freizeit, Ausgehen, Date;Herbst, Winter;Würzig, Süß, Rauchig, Ledrig, Holzig, Harzig;Ein intensiver, magnetischer Herrenduft, der Männern mit starken, charismatischen Persönlichkeiten gewidmet ist.;https://www.chogangroupspa.com/product_referral/11278/ROD2B753D
Multiverse;Multiverse Édition Futur;Mann;Topliste, Trends;Allrounder, Date, Arbeit, Freizeit, Ausgehen;Frühling, Herbst, Winter;Süß, Würzig, Gourmand, Cremig, Holzig;Ein Duft für Männer, die mutig das Unbekannte erforschen.;https://www.chogangroupspa.com/product_referral/8654/ROD2B753D
EVENT23M;EVENT23M Mystére Édition Paris;Mann;Topliste, Trends;Date, Ausgehen;Frühling, Herbst, Winter;Holzig, Blumig, Süß, Pudrig, Zitrus, Fruchtig;Ein kontrastreicher Herrenparfüm: Zitrusfrüchte und Lavendel eröffnen, Kardamom folgt in der Herznote.;https://www.chogangroupspa.com/product_referral/7905/ROD2B753D
NADIR;NADIR 10-Year Anniversary Edition;Mann;Topliste, Trends;Allrounder, Date, Arbeit, Freizeit, Ausgehen;Frühling, Herbst, Winter;Orientalisch, Würzig, Zitrus, Süß;Ein orientalisch-würziger Duft, der Stärke und Tiefe vereint.;https://www.chogangroupspa.com/product_referral/9843/ROD2B753D
AFRODITE;AFRODITE (Limited Edition);Frau;Topliste, Trends;Freizeit, Ausgehen, Date;Winter, Herbst;Blumig, Orientalisch, Süß, Cremig, Gourmand;Ein opulenter, orientalisch-blumiger Duft, der Sinnlichkeit und Verführung verkörpert.;https://www.chogangroupspa.com/product_referral/9963/ROD2B753D
ARTEMIDE;ARTEMIDE (Limited Edition);Frau;Topliste, Trends;Allrounder, Arbeit, Freizeit, Ausgehen, Date;Frühling, Herbst;Holzig, Orientalisch, Lederig, Erdig, Frisch;Ein moderner, holzig-orientalischer Duft, der Freiheit und Stärke verkörpert.;https://www.chogangroupspa.com/product_referral/9953/ROD2B753D
MEDUSA;MEDUSA (Limited Edition);Frau;Topliste, Trends;Arbeit, Freizeit;Frühling, Sommer;Aquatisch, Zitrus, Frisch, Blumig, Holzig;Ein zitrisch-aquatischer Duft, der die geheimnisvolle Kraft und Schönheit der Meeresgöttin verkörpert.;https://www.chogangroupspa.com/product_referral/9943/ROD2B753D
6;6 Addiction;Frau;-;Date, Ausgehen;Herbst, Winter;Orientalisch, Würzig, Holzig;Mehr als ein Duft – eine verführerische Spur, ein Ticket in eine geheimnisvolle Welt voller Magie und Empfindungen.;https://www.chogangroupspa.com/product_referral/9021/ROD2B753D
7;7 Pure Gold;Frau;-;Allrounder, Freizeit, Arbeit, Date, Ausgehen;Frühling, Sommer, Herbst, Winter;Blumig, Süß, Fruchtig, Frisch;Die Essenz von Luxus und Weiblichkeit – ein legendärer Duft, der an einen Spaziergang durch eine blühende Blumenwiese erinnert.;https://www.chogangroupspa.com/product_referral/8781/ROD2B753D
10;10 Stranger;Frau;Topliste, Trends;Date, Ausgehen;Frühling, Herbst, Winter;Blumig, Süß, Holzig, Orientalisch;Ein Duft, der eine geheimnisvolle Aura verströmt: ein magisches Elixier, das Energie und Sinnlichkeit ausstrahlt.;https://www.chogangroupspa.com/product_referral/8783/ROD2B753D
11;11 Aqua Soul;Frau;Topliste, Trends;Freizeit, Arbeit;Frühling, Sommer;Zitrus, Aquatisch, Frisch, Fruchtig;Ein Duft voller Vollkommenheit – die perfekte Balance aus aristokratischer Eleganz, zarter Weiblichkeit und natürlicher Raffinesse.;https://www.chogangroupspa.com/product_referral/9023/ROD2B753D
151W;151W To the edge for her;Frau;-;Allrounder, Date, Ausgehen, Freizeit, Arbeit;Frühling, Sommer, Herbst, Winter;Blumig, Süß, Fruchtig;Ein warmer, verführerischer Duft: Mandarine und rosa Pfeffer wecken Aufmerksamkeit, samtiger Pfirsich und Flieder verleihen Weichheit.;https://www.chogangroupspa.com/product_referral/11053/ROD2B753D
14;14 Statement;Frau;Topliste;Allrounder, Date, Ausgehen, Freizeit, Arbeit;Frühling, Herbst, Winter;Blumig, Süß, Fruchtig, Gourmand, Pudrig;Ein umhüllender, unvergesslicher Duft für die mutige Frau, die ihre Freiheit lebt und ihre Wünsche verwirklicht.;https://www.chogangroupspa.com/product_referral/8915/ROD2B753D
19;19 Prestige for Her;Frau;-;Date, Ausgehen, Freizeit;Frühling, Herbst, Winter;Blumig, Süß, Fruchtig;Ein üppiger, sinnlicher Duft mit frischem Neroli, strahlender Amalfi-Zitrone und knackiger Himbeere.;https://www.chogangroupspa.com/product_referral/8882/ROD2B753D
23;23 Fatale;Frau;Topliste, Trends;Date, Ausgehen;Herbst, Winter;Süß, Pudrig, Gourmand, Orientalisch;Ein betörender Duft, der die Sinne verführt und die Aufmerksamkeit auf sich zieht.;https://www.chogangroupspa.com/product_referral/8785/ROD2B753D
24;24 The Essence;Frau;Topliste;Date, Ausgehen, Freizeit;Frühling, Sommer, Herbst, Winter;Süß, Pudrig, Blumig, Frisch;Ein unverzichtbares, unvergessliches, unsichtbares Modeaccessoire, das die Ankunft der Trägerin ankündigt und ihren Abgang verzögert.;https://www.chogangroupspa.com/product_referral/9015/ROD2B753D
25;25 Her Secret;Frau;Topliste, Trends;Allrounder, Arbeit, Date, Ausgehen, Freizeit;Frühling, Sommer, Herbst, Winter;Süß, Pudrig, Blumig;Ein raffinierter Duft, in dem Moschus die Süße von Orangenblüte und Vanille perfekt ausbalanciert.;https://www.chogangroupspa.com/product_referral/9013/ROD2B753D
26;26 Wild Poppy;Frau;-;Allrounder, Arbeit, Date, Ausgehen, Freizeit;Frühling, Sommer, Herbst, Winter;Süß, Pudrig, Blumig;Ein zarter Duft mit süßen Noten von Weißdorn und schwarzer Johannisbeere, gefolgt von Rose, Jasmin und Veilchen.;https://www.chogangroupspa.com/product_referral/9029/ROD2B753D
27;27 L'Amour Rare;Frau;-;Date, Ausgehen, Freizeit;Frühling, Herbst, Winter;Süß, Pudrig, Blumig, Fruchtig, Orientalisch;Ein Duft aus warmen orientalischen und blumigen Noten, in dem die Rose als Symbol für alle Formen der Liebe triumphiert.;https://www.chogangroupspa.com/product_referral/8884/ROD2B753D
28;28 Etherea;Frau;Trends;Date, Ausgehen;Herbst, Winter;Süß, Gourmand, Orientalisch;Ein gewagter Duft, der orientalische Vanille und Patschuli mit Schokolade, Karamell und frischen Früchten kombiniert.;https://www.chogangroupspa.com/product_referral/9011/ROD2B753D
29;29 Rêve Parisien;Frau;-;Freizeit, Arbeit;Frühling, Sommer;Zitrus, Würzig, Holzig, Frisch, Aquatisch, Pudrig;Ein einzigartiger Duft, der die Leichtigkeit von Blütenblättern im Wasser einfängt und zu einer olfaktorischen Odyssee einlädt.;https://www.chogangroupspa.com/product_referral/9031/ROD2B753D
39;39 Darling;Frau;-;Allrounder, Ausgehen, Date, Freizeit, Arbeit;Frühling, Sommer, Herbst;Süß, Fruchtig, Frisch, Blumig, Pudrig;Ein frischer, zarter Duft, der die Lebensfreude einer freien, eleganten und verspielten Frau widerspiegelt.;https://www.chogangroupspa.com/product_referral/8913/ROD2B753D
40;40 Magnetic;Frau;-;Allrounder, Ausgehen, Date, Freizeit, Arbeit;Frühling, Winter, Herbst;Süß, Fruchtig, Blumig, Orientalisch, Pudrig;Der Duft ist allen anspruchsvollen und eleganten Frauen gewidmet, die durch ihren Charme und die geheimnisvolle Aura bezaubern.;https://www.chogangroupspa.com/product_referral/9039/ROD2B753D
153W;153W Rose Dust;Frau;Topliste, Trends;Freizeit, Arbeit;Frühling, Sommer, Herbst;Süß, Pudrig, Blumig, Frisch;Ein eleganter, kühner Duft, der die Individualität jeder Frau unterstreicht – perfekt für den Alltag.;https://www.chogangroupspa.com/product_referral/10993/ROD2B753D
42;42 Bonheur Supreme;Frau;Trends;Freizeit, Ausgehen, Date;Frühling, Winter, Herbst;Süß, Pudrig, Blumig, Gourmand, Fruchtig;Ein Duft voller Anmut und Freiheit, der die charmante, kultivierte Frau verkörpert.;https://www.chogangroupspa.com/product_referral/8787/ROD2B753D
154W;154W Liaison Rose;Frau;-;Allrounder, Arbeit, Freizeit, Ausgehen, Date;Frühling, Sommer, Winter, Herbst;Süß, Pudrig, Blumig;Ein frischer, lebendiger Duft, der Frauen umhüllt und eine Aura der Zartheit verströmt.;https://www.chogangroupspa.com/product_referral/11008/ROD2B753D
47;47 Night Gem;Frau;Topliste;Freizeit, Ausgehen, Date;Frühling, Sommer, Winter, Herbst;Würzig, Süß, Cremig, Orientalisch, Blumig;Ein prachtvoller, exzentrischer Duft für die selbstbewusste Frau, inspiriert von der Eleganz eines Abendkleides.;https://www.chogangroupspa.com/product_referral/881/ROD2B753D
49;49 Pearl Bloom;Frau;-;Freizeit, Arbeit;Frühling, Sommer;Grün, Blumig, Frisch;Ein frischer, femininer Duft, der die Unschuld der ersten Liebe mit moderner Eleganz vereint.;https://www.chogangroupspa.com/product_referral/8917/ROD2B753D
51;51 Miss Bijou;Frau;Topliste, Trends;Allrounder, Arbeit, Freizeit, Ausgehen, Date;Frühling, Sommer, Winter, Herbst;Süß, Pudrig, Blumig, Frisch, Fruchtig, Zitrus;Ein frischer, blumiger Duft mit orientalischen Akzenten, der die Sinnlichkeit einer selbstbewussten, rebellischen Frau verkörpert.;https://www.chogangroupspa.com/product_referral/8998/ROD2B753D
53;53 Vanité;Frau;-;Allrounder, Arbeit, Freizeit, Ausgehen, Date;Frühling, Herbst, Winter;Blumig, Holzig, Pudrig;Ein sinnlicher Duft mit blumiger Kopfnote, Ambra und Moschus, der die natürliche Eleganz von Hölzern vereint.;https://www.chogangroupspa.com/product_referral/9009/ROD2B753D
55;55 Black Addiction;Frau;Topliste, Trends;Freizeit, Ausgehen, Date;Frühling, Herbst, Winter;Orientalisch, Gourmand, Süß, Würzig, Blumig;Ein aufregender Duft, schwarz wie Kaffee, süchtig machend durch die exquisite Weiblichkeit von weißen Blüten und Vanille.;https://www.chogangroupspa.com/product_referral/8789/ROD2B753D
56;56 Light & Dark;Frau;-;Freizeit, Ausgehen, Date;Frühling, Herbst, Winter;Blumig, Würzig, Süß, Pudrig, Orientalisch, Holzig;Ein charismatischer, orientalischer Duft, der durch geheimnisvolle Vielseitigkeit verführt.;https://www.chogangroupspa.com/product_referral/8919/ROD2B753D
57;57 Pure Purple;Frau;-;Freizeit, Arbeit;Frühling, Herbst, Winter;Blumig, Süß, Pudrig, Holzig, Frisch;Ein verspielter, raffinierter Duft mit Zitrusnoten, Rose und einer holzigen Basis – eine Sinnesreise.;https://www.chogangroupspa.com/product_referral/9047/ROD2B753D
156W;156W Unbending woman;Frau;-;Freizeit, Arbeit;Frühling, Sommer;Blumig, Süß, Fruchtig, Frisch, Fruchtig;Samtig, suggestiv, strahlend und süß, manchmal geheimnisvoll: – ein Duft, der das Licht heraufbeschwört.;https://www.chogangroupspa.com/product_referral/11068/ROD2B753D
64;64 Talisman;Frau;-;Freizeit, Arbeit;Frühling, Herbst, Sommer;Blumig, Süß, Fruchtig, Frisch;Ein orientalischer Duft, der Dich auf eine abenteuerliche und magische Erfahrung mitnimmt.;https://www.chogangroupspa.com/product_referral/1440/ROD2B753D
67;67 Victoria;Frau;-;Allrounder, Date, Ausgehen, Freizeit, Arbeit;Frühling, Herbst, Winter, Sommer;Süß, Orientalisch, Blumig;Ein Duft, der eine göttliche Spur hinterlässt, für starke Frauen, für moderne Kleopatras.;https://www.chogangroupspa.com/product_referral/9019/ROD2B753D
70;70 Pure Ego;Frau;-;Allrounder, Date, Ausgehen, Freizeit, Arbeit;Frühling, Herbst, Winter;Pudrig, Fruchtig, Süß, Orientalisch, Blumig;Ein verführerischer Duft mit süßen, kontrastreichen Noten, der die leidenschaftliche Frau verkörpert.;https://www.chogangroupspa.com/product_referral/9059/ROD2B753D
71;71 Sublime;Frau;-;Allrounder, Date, Ausgehen, Freizeit, Arbeit;Frühling, Sommer, Herbst, Winter;Blumig, Süß, Pudrig;Eine blumig-fruchtige Mischung, die charismatische, raffinierte Frauen mit betörenden Akkorden verführt.;https://www.chogangroupspa.com/product_referral/1874/ROD2B753D
76;76 Deep Blue;Frau;-;Freizeit, Arbeit;Frühling, Sommer;Zitrus, Blumig, Frisch, Aquatisch;Dieser Duft vereint Elemente, die von der Erde und dem Meer inspiriert sind, und schafft ein Gefühl von unwiderstehlicher Frische.;https://www.chogangroupspa.com/product_referral/1876/ROD2B753D
158W;158W Wild Bloom;Frau;-;Allrounder, Date, Ausgehen, Freizeit, Arbeit;Frühling, Herbst, Sommer;Blumig, Frisch, Aquatisch, Fruchtig, Süß;Ein femininer Duft mit blumigen Noten von Osmanthus, Rose und Pfingstrose, abgerundet von Sandelholz und Patschuli.;https://www.chogangroupspa.com/product_referral/11023/ROD2B753D
80;80 Absolutely;Frau;-;Allrounder, Date, Ausgehen, Freizeit, Arbeit;Frühling, Herbst, Sommer, Winter;Blumig, Süß, Fruchtig;Ein moderner Chypre-Duft, der Stärke und Unabhängigkeit vereint. Mit schwarzer Johannisbeere, Chypre und moschusartigem Holz.;https://www.chogangroupspa.com/product_referral/8791/ROD2B753D
81;81 Allure Éternelle;Frau;Topliste;Date, Ausgehen, Freizeit;Frühling, Herbst, Sommer, Winter;Süß, Pudrig, Orientalisch, Fruchtig;Ein explosiver Duft, der Schlagsahne, Jasmin und warme Holznoten vereint.;https://www.chogangroupspa.com/product_referral/9071/ROD2B753D
82;82 Jeunesse;Frau;-;Arbeit, Freizeit;Frühling, Herbst, Sommer;Süß, Pudrig, Frisch, Blumig, Fruchtig;Ein femininer Duft, welcher die lebendigen Noten von rosa Pfeffer und die blumigen Akkorde von Jasmin und Rose verbindet.;https://www.chogangroupspa.com/product_referral/2097/ROD2B753D
85;85 Serendipity;Frau;-;Arbeit, Freizeit;Frühling, Herbst, Sommer;Zitrus, Süß, Fruchtig, Frisch, Blumig;Ein verzaubernder Duft mit blumigen und Vanille-Noten, perfekt für Frauen, die das Besondere suchen.;https://www.chogangroupspa.com/product_referral/2173/ROD2B753D
89;89 Ville Lumière;Frau;-;Arbeit, Freizeit;Frühling, Herbst, Sommer;Zitrus, Süß, Fruchtig, Frisch, Blumig;Ein femininer Duft, super sinnlich und charmant, inspiriert von einer atemberaubenden Liebesgeschichte.;https://www.chogangroupspa.com/product_referral/9000/ROD2B753D
90;90 Femme Fatale;Frau;-;Date, Ausgehen, Freizeit;Frühling, Herbst, Winter;Süß, Gourmand, Fruchtig, Blumig;Ein verführerischer Duft für moderne, freie Frauen, die mit Sinnlichkeit und Frechheit ihre Träume verfolgen.;https://www.chogangroupspa.com/product_referral/2127/ROD2B753D
93;93 Glory;Frau;-;Arbeit, Freizeit;Frühling, Herbst, Sommer;Blumig, Süß, Holzig, Fruchtig, Frisch;Ein exklusives Parfüm, das für die moderne Frau entwickelt wurde: eine Frau, die für sich selbst einsteht.;https://www.chogangroupspa.com/product_referral/9017/ROD2B753D
159W;159W British charm for her;Frau;-;Arbeit, Freizeit;Frühling, Herbst, Winter;Blumig, Süß, Holzig, Fruchtig;Ein eleganter, zeitloser Duft, der die britische Tradition und den Charme Londons verkörpert.;https://www.chogangroupspa.com/product_referral/10948/ROD2B753D
96;96 The Muse;Frau;-;Arbeit, Freizeit;Frühling, Herbst, Sommer;Blumig, Süß, Zitrus, Fruchtig, Frisch;Ein Duft mit starkem Charakter, der dem rebellischen Geist in jeder Frau eine Stimme gibt, um ihre Identität zu enthüllen.;https://www.chogangroupspa.com/product_referral/9085/ROD2B753D
97;97 Vita;Frau;-;Allrounder, Date, Ausgehen, Arbeit, Freizeit;Frühling, Herbst, Winter, Sommer;Süß, Gourmand, Fruchtig, Frisch, Cremig, Blumig;Ein kühner, üppiger Duft, der die moderne, mutige und lebensfrohe Weiblichkeit verkörpert.;https://www.chogangroupspa.com/product_referral/3698/ROD2B753D
98;98 Euphoria;Frau;-;Arbeit, Freizeit;Frühling, Herbst, Sommer;Süß, Frisch, Cremig, Blumig;Ein Bouquet, das ein einzigartiges Gefühl der Freude ausdrückt, indem es eine olfaktorische Interpretation des Lichts bietet.;https://www.chogangroupspa.com/product_referral/3701/ROD2B753D
109;109 Pure Gold Intense;Frau;Topliste;Ausgehen, Date, Freizeit;Frühling, Herbst, Winter;Blumig, Süß, Pudrig, Orientalisch;Ein edler, sinnlicher Duft mit Jasmin, Rose, Vanille und Tonkabohne. Süß und unwiderstehlich.;https://www.chogangroupspa.com/product_referral/4413/ROD2B753D
115;115 Icon;Frau;-;Arbeit, Freizeit;Frühling, Herbst, Sommer;Blumig, Süß, Fruchtig, Frisch;Ein sanfter, aber intensiver Duft für starke, ehrliche Frauen mit großen Träumen.;https://www.chogangroupspa.com/product_referral/6287/ROD2B753D
116;116 Declare;Frau;-;Ausgehen, Date, Freizeit;Frühling, Herbst, Winter;Cremig, Blumig, Fruchtig, Süß, Gourmand;Ein Duft für Frauen, die Unabhängigkeit und Unternehmungslust zu ihren Charaktereigenschaften zählen.;https://www.chogangroupspa.com/product_referral/8886/ROD2B753D
119;119 Dark Affair;Frau;-;Ausgehen, Date, Freizeit;Frühling, Herbst, Winter;Orientalisch, Süß, Gourmand, Fruchtig, Blumig;Die unwiderstehliche Duftspur macht die Trägerin faszinierend, ohne dass sie ein Wort sagen muss.;https://www.chogangroupspa.com/product_referral/8795/ROD2B753D
120;120 Haute Couture;Frau;-;Ausgehen, Date, Freizeit;Frühling, Herbst, Winter;Orientalisch, Gourmand, Pudrig, Süß, Fruchtig, Blumig;Ein bezaubernder Duft mit blumigen und fruchtigen Noten von Rose, Amarena und Tee, verfeinert mit sinnlichem Patschuli.;https://www.chogangroupspa.com/product_referral/9095/ROD2B753D
121;121 Secret Desire;Frau;Topliste, Trends;Allrounder, Arbeit, Ausgehen, Date, Freizeit;Frühling, Sommer, Herbst, Winter;Pudrig, Würzig, Grün, Frisch, Blumig;Gewidmet den mutigsten Frauen, die den Tag lieben, aber keine Angst vor der Nacht haben.;https://www.chogangroupspa.com/product_referral/8797/ROD2B753D
122;122 Volare;Frau;Topliste, Trends;Allrounder, Arbeit, Ausgehen, Date, Freizeit;Frühling, Sommer, Herbst, Winter;Süß, Blumig, Cremig, Frisch;Ein mutiger, unwiderstehlicher Duft für die rebellische Frau, die ihre eigenen Regeln lebt und Freiheit kompromisslos verkörpert.;https://www.chogangroupspa.com/product_referral/8799/ROD2B753D
123;123 Sweet Rebel;Frau;-;Allrounder, Arbeit, Ausgehen, Date, Freizeit;Frühling, Sommer, Herbst;Blumig, Süß, Frisch, Fruchtig;Pure Sinnlichkeit, die zarte, unschuldige Noten mit üppigeren Nuancen verbindet.;https://www.chogangroupspa.com/product_referral/7127/ROD2B753D
131;131 Chica Mala;Frau;Topliste, Trends;Ausgehen, Date, Freizeit;Frühling, Winter, Herbst;Blumig, Süß, Gourmand;Ein gewagter Duft, der blumige Eleganz mit berauschenden Noten kombiniert und die facettenreiche Persönlichkeit der modernen Frau widerspiegelt.;https://www.chogangroupspa.com/product_referral/8801/ROD2B753D
132;132 My rules;Frau;-;Allrounder, Arbeit, Ausgehen, Date, Freizeit;Frühling, Sommer, Herbst;Blumig, Süß, Frisch, Fruchtig;Ein Parfüm für neugierige, mutige Frauen, die nach ihren eigenen Regeln leben und dabei Kompromisse eingehen.;https://www.chogangroupspa.com/product_referral/8803/ROD2B753D
133;133 Enigma;Frau;Topliste;Allrounder, Arbeit, Ausgehen, Date, Freizeit;Frühling, Sommer, Herbst;Blumig, Süß, Fruchtig;Ein Parfüm für mutige Frauen, das kontrastierende Elemente vereint und ihre facettenreiche, einzigartige Persönlichkeit betont.;https://www.chogangroupspa.com/product_referral/8722/ROD2B753D
145;145 Forever Yours;Frau;Topliste;Allrounder, Arbeit, Ausgehen, Date, Freizeit;Frühling, Sommer, Herbst, Winter;Zitrus, Süß, Gourmand, Cremig;Ein süßer, verlockender Duft, der von lebendiger, strahlender Weiblichkeit erzählt.;https://www.chogangroupspa.com/product_referral/9243/ROD2B753D
148;148W Divine Aura;Frau;Topliste, Trends;Allrounder, Arbeit, Ausgehen, Date, Freizeit;Frühling, Winter, Herbst;Blumig, Süß, Würzig, Cremig, Gourmand;Ein strahlender, verführerischer Damenduft, der Vanille in einer modernen Komposition zelebriert.;https://www.chogangroupspa.com/product_referral/11293/ROD2B753D
EVENT23W;EVENT23W Séduction Èdition Paris;Frau;Topliste, Trends;Ausgehen, Date, Freizeit;Frühling, Winter, Herbst;Blumig, Süß, Fruchtig;Ein Duft, der die Kunst der Verführung einfängt. Fruchtige Süße in der Kopfnote, magnetische Hölzer im Herzen.;https://www.chogangroupspa.com/product_referral/7907/ROD2B753D
Astral24;Astral24 Édition Futur;Frau;Topliste, Trends;Ausgehen, Date, Freizeit;Frühling, Winter, Herbst, Sommer;Fruchtig, Holzig, Blumig, Zitrus;Ein Duft für Frauen, die groß träumen und ihr inneres Licht strahlen lassen – inspiriert von einer Reise zu den Sternen.;https://www.chogangroupspa.com/product_referral/8656/ROD2B753D
IMPERATIRX;IMPERATIRX 10-Year Anniversary Edition;Frau;Topliste, Trends;Ausgehen, Date, Freizeit;Frühling, Winter, Herbst, Sommer;Blumig, Fruchtig, Süß, Gourmand, Orientalisch, Cremig;Ein luxuriöser, königlich-blumiger Duft, der sinnliche Gourmandnoten mit fruchtiger Frische und ambrierter Wärme vereint.;https://www.chogangroupspa.com/product_referral/9858/ROD2B753D
LOVE22;LOVE22;Frau;Topliste, Trends;Date, Ausgehen, Freizeit;Herbst, Winter, Frühling;Blumig, Orientalisch, Süß, Gourmand;Sinnlicher, süßer Duft mit Noten von Rose, Kirsche, Mandel, Vanille und Moschus – perfekt für romantische Momente.;https://www.chogangroupspa.com/product_referral/6961/ROD2B753D
LOVE23;LOVE23;Frau;Topliste, Trends;Ausgehen, Date, Freizeit;Frühling, Winter, Herbst, Sommer;Blumig, Fruchtig, Holzig, Gourmand, Orientalisch;Fruchtig-blumiger Duft mit Noten von Himbeere, Gardenie, Jasmin, Ingwer, Weihrauch und holzig-süßem Kardamom-Milch-Akkord.;https://www.chogangroupspa.com/product_referral/7130/ROD2B753D
LOVE24;LOVE24;Frau;Topliste, Trends;Ausgehen, Date, Freizeit;Frühling, Winter, Herbst;Blumig, Süß, Gourmand, Orientalisch;Sinnlich-orientalischer Duft mit Noten von Himbeere, Bergamotte, Jasmin, Rose, Vanille und Karamell – perfekt für besondere Momente.;https://www.chogangroupspa.com/product_referral/7551/ROD2B753D
LOVE25;LOVE25;Frau;Topliste, Trends;Ausgehen, Date, Freizeit;Frühling, Winter, Herbst, Sommer;Blumig, Süß, Gourmand, Orientalisch;Orientalisch-vanilliger Duft mit Noten von Aprikose, Kokos, Jasmin, Rose, Mandel und Moschus – süß, warm und verführerisch.;https://www.chogangroupspa.com/product_referral/7562/ROD2B753D
59;59 Baby Joy;Kids;Topliste, Trends;Allrounder, Freizeit;Frühling, Sommer;Blumig, Frisch, Zitrus;Leichter, frischer Duft mit blumigen und zitrischen Noten – sanft und hypoallergen, ideal für Kinder und Mütter.;https://www.chogangroupspa.com/product_referral/2187/ROD2B753D
58;58 Baby Girl;Kids;Topliste, Trends;Allrounder, Freizeit;Frühling, Sommer;Blumig, Frisch, Fruchtig;Frischer, blumig-fruchtiger Duft, sanft und hypoallergen – ideal für kleine Mädchen und Mütter.;https://www.chogangroupspa.com/product_referral/2188/ROD2B753D
45;45 Baby Boy;Kids;Topliste, Trends;Allrounder, Freizeit;Frühling, Sommer;Holzig, Frisch;Frischer, sanft-holziger Duft – hypoallergen und mild, ideal für Jungen und Mütter.;https://www.chogangroupspa.com/product_referral/2186/ROD2B753D
